ciudad;pm25;no2;ingresos
vitoria;8.31;3.69;1208.0
alicante;9.0;0.5;1211.0
almeria;14.0;6.4;791.0
oviedo;5.0;9.2;1463.0
avila;;0.5;1352.0
barcelona;34.0;20.2;1438.0
burgos;9.0;1.0;1469.0
cadiz;9.0;0.5;772.0
santander;;14.7;1215.0
castellon;5.0;1.9;950.0
cordoba;10.0;7.8;991.0
a coruna;57.0;8.0;1316.0
cuenca;151.0;130.2;1141.0
gerona;30.0;16.5;1022.0
granada;6.0;6.4;785.0
guadalajara;;;949.0
san sebastian;21.0;27.0;1356.0
huelva;29.0;0.5;812.0
palma de mallorca;55.0;3.2;1293.0
jaen;13.0;4.6;780.0
leon;13.0;10.6;1721.0
lerida;42.0;15.1;1255.0
lugo;13.0;3.7;1409.0
madrid;55.0;12.8;1.34
malaga;29.0;17.0;686.0
murcia;12.0;10.3;1048.0
pamplona;30.0;32.0;1157.0
orense;68.0;12.2;1954.0
palencia;34.0;2.3;1832.0
las palmas de gran canaria;25.0;2.8;696.0
pontevedra;5.0;9.3;1378.0
salamanca;;5.5;1114.0
segovia;;8.3;1167.0
sevilla;25.0;7.4;884.0
soria;5.0;8.7;1504.0
tarragona;55.0;28.8;1286.0
santa cruz de tenerife;25.0;3.2;998.0
toledo;60.0;;981.0
valencia;13.0;4.2;1183.0
valladolid;13.0;13.3;1441.0
bilbao;13.0;13.3;1432.0
zamora;;5.5;1597.0
zaragoza;32.0;16.8;1275.0
